n,p,k,ec_aktual,kelembapan_udara,kelembapan_tanah,suhu,fase,usia_hst,target_ec,vpd
127.07,76.44,289.53,1.935,86.9,56.15,23.35,1,73,1.86,0.3759
128.56,63.91,226.59,2.091,81.41,44.49,27.15,1,141,2.0,0.6687
142.13,78.29,295.79,2.024,86.01,59.7,28.06,1,148,1.72,0.5307
170.17,74.69,223.4,1.954,78.48,39.83,31.36,1,134,1.94,0.9868
236.57,55.34,169.26,1.601,92.56,33.13,26.98,0,22,1.68,0.265
205.83,42.0,156.05,1.756,81.37,47.77,29.01,0,22,1.56,0.7467
249.0,41.63,196.46,1.579,85.73,46.25,28.08,0,29,1.58,0.5419
135.63,76.75,232.94,2.157,79.98,69.43,26.39,1,50,2.01,0.6886
144.07,52.76,296.28,1.986,83.86,56.1,29.06,1,144,1.71,0.6488
224.62,46.88,205.73,1.431,87.53,46.02,23.72,0,43,1.72,0.3659
168.25,60.01,283.85,1.982,80.79,61.37,29.36,1,60,1.68,0.7856
175.46,63.2,261.22,1.821,81.39,33.92,26.22,1,114,1.55,0.6337
229.5,57.6,150.49,1.562,80.55,66.43,26.4,0,11,1.6,0.6694
146.35,69.95,228.95,1.957,82.42,38.1,29.44,1,49,1.92,0.7223
150.26,76.79,295.43,2.218,87.11,45.38,26.14,1,89,1.95,0.4369
232.9,56.27,193.22,1.793,84.87,45.52,24.44,0,15,1.86,0.4635
164.81,61.2,288.92,2.01,81.92,55.62,30.01,1,118,1.72,0.7676
214.03,44.82,202.32,1.745,82.9,82.42,27.12,0,16,1.58,0.614
174.15,63.88,296.82,1.952,79.2,47.86,32.0,1,105,1.67,0.989
132.04,71.72,289.17,1.829,79.86,45.47,29.6,1,115,1.72,0.8351
165.58,59.04,291.03,2.063,82.9,39.28,27.43,1,91,1.64,0.6252
242.3,41.3,166.54,1.643,95.0,51.56,28.74,0,44,1.74,0.1973
135.95,56.58,286.65,1.887,83.28,40.01,28.64,1,73,1.82,0.6559
160.04,73.18,280.57,1.893,86.52,37.58,26.9,1,91,1.82,0.4778
211.94,58.03,160.61,1.713,83.09,77.15,29.56,0,36,1.64,0.6996
175.11,71.16,271.89,1.798,79.15,32.9,30.04,1,74,1.62,0.8867
214.89,53.09,161.56,1.667,91.94,69.1,24.48,0,18,1.75,0.2475
122.88,51.25,289.56,1.962,79.2,41.14,29.83,1,100,1.68,0.874
223.22,43.54,203.37,1.667,91.57,30.64,23.56,0,9,1.66,0.245
239.88,44.01,198.65,1.719,84.45,73.73,23.75,0,30,1.72,0.4571
191.63,61.67,183.79,1.495,76.37,68.63,29.26,0,32,1.54,0.9609
131.24,71.96,233.65,1.863,85.46,48.39,26.52,1,72,2.09,0.504
222.13,49.62,154.13,1.776,77.43,34.36,27.28,0,9,1.49,0.818
123.01,71.93,223.63,1.993,88.01,49.84,24.63,1,134,2.24,0.3715
224.32,61.64,175.66,1.639,79.84,39.97,24.1,0,17,1.47,0.6052
246.6,51.94,177.31,1.709,80.46,81.29,28.27,0,11,1.56,0.7503
185.54,64.91,157.66,1.485,75.98,59.13,27.07,0,13,1.67,0.8599
143.84,57.29,262.31,2.108,95.0,83.01,29.04,1,66,1.89,0.2007
244.08,61.27,169.0,1.677,74.36,49.32,27.63,0,19,1.59,0.9485
130.15,79.1,296.16,2.176,82.68,60.61,27.64,1,82,1.71,0.6411
122.64,60.73,228.22,2.174,88.3,40.46,27.68,1,69,2.23,0.4341
131.35,53.37,232.58,2.008,90.55,74.46,24.59,1,93,2.17,0.2921
204.29,51.59,158.28,1.69,87.56,32.26,26.89,0,44,1.59,0.4407
223.93,57.96,202.62,1.605,77.76,68.26,31.28,0,39,1.66,1.0152
153.3,55.19,252.86,2.017,85.77,51.54,31.65,1,58,2.02,0.6633
232.71,43.25,207.85,1.465,86.99,61.81,27.87,0,15,1.76,0.4881
131.74,77.69,264.85,1.973,81.6,62.57,29.96,1,104,1.69,0.7789
201.49,45.76,196.26,1.385,83.83,69.09,27.63,0,15,1.67,0.5982
126.05,50.28,232.87,1.984,77.97,41.23,31.13,1,60,2.08,0.9971
130.39,78.74,237.22,2.158,74.73,59.23,31.36,1,69,1.98,1.1588
140.94,72.21,273.67,2.093,91.99,53.48,24.1,1,120,1.97,0.2405
238.16,53.53,159.38,1.613,84.61,45.52,32.73,0,31,1.6,0.7625
164.96,62.46,273.9,1.976,76.45,57.27,29.59,1,126,1.66,0.976
241.16,46.89,200.42,1.535,84.41,82.36,24.8,0,40,1.77,0.488
216.57,46.97,191.77,1.49,83.7,82.19,25.65,0,17,1.69,0.5367
168.97,54.92,252.44,2.098,82.29,45.33,27.83,1,147,2.03,0.6628
165.96,53.83,247.97,1.816,83.35,78.63,27.19,1,136,1.95,0.6003
138.56,64.17,287.3,1.813,86.37,78.22,28.74,1,87,1.75,0.5378
169.37,79.04,295.69,2.109,75.74,43.73,31.13,1,52,1.75,1.098
186.88,42.35,180.74,1.625,81.71,62.94,23.95,0,11,1.58,0.5441
213.54,61.4,176.13,1.605,87.95,77.85,28.6,0,22,1.82,0.4716
122.7,59.58,225.64,2.025,81.08,58.32,26.78,1,146,2.07,0.6659
219.26,54.76,186.42,1.841,78.66,50.34,25.03,0,8,1.54,0.6772
226.73,62.96,207.98,1.607,81.48,65.79,26.22,0,16,1.51,0.6307
187.9,44.22,204.07,1.635,79.12,39.48,29.7,0,25,1.47,0.8708
190.05,57.17,151.83,1.847,90.1,38.9,27.97,0,26,1.61,0.3736
212.51,64.07,178.86,1.592,88.26,75.8,26.52,0,44,1.74,0.4069
246.59,47.75,169.77,1.807,89.82,32.3,26.02,0,41,1.76,0.3426
205.25,40.38,180.64,1.347,87.61,74.2,26.65,0,16,1.76,0.4328
241.42,58.37,186.37,1.461,89.3,45.98,25.48,0,42,1.8,0.3488
171.96,68.05,281.04,1.92,80.54,56.57,26.14,1,74,1.74,0.6596
223.19,61.81,196.89,1.67,78.98,59.89,30.58,0,32,1.66,0.922
222.04,41.41,178.5,1.813,78.42,72.19,26.81,0,37,1.62,0.7609
145.13,51.52,250.92,1.929,77.24,78.61,32.45,1,52,1.89,1.11
180.23,49.43,151.51,1.717,87.17,74.23,26.38,0,29,1.8,0.4411
138.02,64.53,248.74,2.268,81.33,61.48,29.83,1,80,2.04,0.7845
165.23,76.38,238.09,2.188,85.71,49.14,31.49,1,85,2.01,0.6601
246.5,58.66,191.71,1.552,80.82,58.96,23.3,0,22,1.63,0.5487
190.76,48.51,184.93,1.704,82.05,31.65,31.05,0,44,1.47,0.8087
127.34,68.54,221.13,2.041,72.68,43.47,31.75,1,51,1.8,1.2808
137.6,57.7,221.78,1.921,81.83,50.14,29.04,1,126,2.03,0.7295
217.0,60.91,175.02,1.651,88.14,47.59,25.62,0,18,1.87,0.3898
170.34,56.69,260.99,1.943,84.15,35.23,24.75,1,84,1.77,0.4947
246.42,56.0,182.31,1.615,86.38,32.79,26.53,0,13,1.67,0.4724
168.51,77.79,221.92,1.835,75.42,53.14,30.31,1,78,2.08,1.0616
245.1,61.32,193.14,1.388,73.07,34.11,29.01,0,29,1.48,1.0794
149.93,76.27,227.71,1.966,83.64,45.74,29.61,1,78,2.01,0.6788
134.03,61.85,295.89,2.038,91.64,56.12,27.31,1,134,1.91,0.3035
133.61,59.25,245.03,1.865,80.78,41.55,24.15,1,123,2.0,0.5787
226.72,54.23,173.74,1.663,85.45,34.37,31.29,0,17,1.6,0.6645
208.99,60.71,154.3,1.605,79.93,53.77,30.87,0,7,1.59,0.895
227.62,58.56,206.56,1.678,78.21,54.67,25.13,0,11,1.64,0.6956
208.09,61.41,160.98,1.713,75.07,80.36,29.75,0,20,1.58,1.0427
187.99,52.68,161.63,1.761,83.04,37.03,27.27,0,13,1.59,0.6143
154.4,75.28,298.72,2.072,79.58,63.82,28.77,1,107,1.66,0.8072
237.69,61.36,193.45,1.565,80.13,47.58,23.12,0,10,1.63,0.5623
231.02,45.81,194.21,1.623,75.49,36.8,26.16,0,33,1.38,0.8317
171.02,57.51,276.58,2.28,77.37,51.62,28.77,1,136,1.69,0.8945
169.31,57.16,254.07,2.118,84.46,53.54,26.68,1,70,2.03,0.5437
138.54,51.73,296.97,2.009,81.58,50.0,28.76,1,92,1.63,0.7277
173.44,52.32,253.9,1.982,78.45,72.12,29.49,1,96,1.98,0.888
198.21,45.31,198.62,1.528,84.7,76.16,26.46,0,40,1.76,0.5285
183.37,45.86,164.61,1.458,86.83,38.18,28.74,0,37,1.45,0.5197
141.27,64.53,236.65,2.205,82.96,39.23,29.45,1,143,1.91,0.7005
144.85,70.94,265.78,2.057,84.75,53.17,24.6,1,119,1.83,0.4717
241.78,54.75,204.0,1.448,87.66,47.61,27.2,0,26,1.75,0.4452
132.75,55.14,272.34,1.985,78.38,75.08,27.02,1,124,1.72,0.7717
236.57,55.92,206.16,1.752,83.01,84.82,25.96,0,40,1.59,0.5698
212.81,46.04,191.27,1.546,84.83,39.96,24.07,0,38,1.66,0.4546
230.66,61.59,187.1,1.502,79.48,71.94,24.26,0,39,1.58,0.6219
125.75,59.12,269.81,2.043,80.19,63.4,28.01,1,121,1.76,0.7492
167.81,67.61,264.52,2.079,74.81,65.44,24.8,1,78,1.69,0.7885
234.95,49.04,176.64,1.547,93.46,44.54,26.22,0,42,1.83,0.2227
126.87,62.26,225.07,1.928,80.01,35.35,25.33,1,71,1.81,0.6458
207.05,58.47,196.89,1.655,92.13,59.88,25.89,0,15,1.77,0.2628
216.83,54.41,167.09,1.465,81.96,63.74,28.59,0,38,1.58,0.7057
123.59,67.48,281.44,1.935,82.92,82.97,30.45,1,51,1.66,0.7436
141.33,76.04,254.69,1.986,75.88,67.14,32.42,1,112,1.99,1.1744
166.31,55.87,248.18,2.089,85.59,54.4,25.5,1,136,2.18,0.4702
156.91,74.3,242.24,1.949,85.21,84.67,28.38,1,59,2.04,0.5715
141.77,62.44,238.75,2.068,85.72,50.53,27.89,1,94,2.06,0.5363
131.51,55.33,292.96,2.14,84.87,38.94,29.45,1,95,1.57,0.622
195.91,45.31,163.75,1.539,81.85,63.99,26.46,0,17,1.66,0.6269
193.5,43.27,197.18,1.987,80.73,44.64,27.08,0,42,1.56,0.6903
227.37,46.05,198.3,1.77,77.8,80.72,24.14,0,24,1.61,0.668
209.03,43.95,178.98,1.633,86.66,53.53,26.06,0,37,1.73,0.45
151.29,54.36,222.71,1.978,85.31,38.23,30.67,1,91,1.89,0.6477
204.28,54.97,164.77,1.533,94.53,37.79,23.39,0,42,1.78,0.1573
236.47,54.65,195.25,1.799,84.81,65.73,26.9,0,25,1.61,0.5384
235.82,56.05,188.37,1.625,79.64,50.12,26.7,0,28,1.59,0.7132
174.59,73.64,220.12,1.827,74.67,50.0,27.05,1,61,1.9,0.9058
213.08,62.84,197.67,1.395,86.99,63.68,28.57,0,17,1.6,0.5083
174.25,78.33,227.21,2.013,72.16,42.18,29.29,1,93,2.0,1.134
195.36,54.69,153.55,1.616,79.29,38.0,29.46,0,39,1.48,0.8519
216.82,41.96,196.35,1.49,84.32,66.15,24.51,0,16,1.78,0.4824
122.36,52.14,230.24,1.818,84.09,30.29,25.62,1,51,1.89,0.5229
159.47,54.48,276.51,1.764,81.49,79.91,29.1,1,124,1.7,0.7457
203.52,52.16,164.26,1.509,86.27,40.06,24.36,0,40,1.79,0.4186
130.45,79.72,272.89,1.956,68.59,54.63,29.82,1,116,1.56,1.319
159.71,62.46,267.92,2.083,81.58,41.63,28.89,1,117,1.65,0.7332
206.66,43.19,155.64,1.584,72.53,42.0,26.47,0,34,1.68,0.9494
137.28,68.83,227.03,2.128,88.25,75.93,25.46,1,75,2.19,0.3825
144.31,78.77,237.17,2.073,77.55,62.18,30.19,1,52,2.03,0.963
154.17,57.14,289.21,2.062,68.08,47.13,31.81,1,85,1.55,1.5015
151.15,66.35,285.77,2.118,78.65,43.81,27.53,1,106,1.71,0.7852
122.35,62.26,235.37,1.834,81.25,41.71,25.99,1,59,2.0,0.6299
125.92,66.25,228.62,1.936,92.67,60.49,23.09,1,106,2.21,0.2071
126.03,58.07,288.5,2.288,84.78,70.19,26.34,1,109,1.6,0.522
135.74,64.93,234.25,1.771,83.8,43.94,28.25,1,100,1.87,0.6213
134.75,68.74,289.69,1.964,84.59,48.28,32.02,1,112,1.74,0.7335
164.53,52.44,296.89,2.057,80.04,69.62,29.98,1,135,1.68,0.8459
154.36,72.29,237.66,1.775,85.02,70.55,29.17,1,89,1.96,0.606
201.53,64.3,183.68,1.51,88.45,41.4,24.97,0,44,1.81,0.3652
124.19,76.41,253.91,2.24,76.57,51.02,27.22,1,79,1.99,0.8462
149.11,62.78,283.1,2.02,86.43,77.85,31.59,1,139,1.64,0.6304
248.28,49.53,154.87,1.531,75.65,70.71,27.5,0,15,1.65,0.894
171.0,63.84,225.63,2.025,90.6,38.94,23.87,1,102,2.16,0.2783
234.23,57.11,159.91,1.531,75.92,51.23,26.66,0,31,1.61,0.8416
233.77,55.54,194.43,1.806,85.94,83.53,27.3,0,36,1.61,0.5102
122.79,51.41,294.16,1.881,92.24,58.9,27.3,1,134,1.9,0.2816
235.69,54.02,199.95,1.537,84.44,69.56,24.44,0,34,1.81,0.4767
152.4,52.49,226.56,1.821,80.78,35.06,28.26,1,107,1.92,0.7376
169.5,50.1,238.28,1.965,85.05,75.79,28.33,1,46,1.98,0.576
209.76,53.95,171.53,1.579,81.86,63.26,26.66,0,25,1.64,0.634
246.05,40.45,158.94,1.743,93.61,39.66,25.54,0,31,1.71,0.209
215.05,50.93,204.24,1.478,80.04,50.91,31.58,0,24,1.64,0.9268
160.11,57.17,233.78,2.058,81.58,34.57,27.02,1,102,1.96,0.6575
136.39,77.33,257.46,2.01,78.97,72.74,28.7,1,111,2.0,0.8279
121.18,77.69,290.26,1.773,77.74,70.97,27.88,1,126,1.72,0.8356
207.32,60.9,209.78,1.513,79.58,56.96,27.54,0,36,1.63,0.7514
177.44,66.33,244.34,1.908,79.22,54.86,29.48,1,97,2.0,0.8557
248.04,44.41,158.98,1.802,82.27,55.49,25.32,0,40,1.58,0.5724
172.08,52.65,267.72,2.065,80.05,32.06,26.84,1,68,1.61,0.7046
208.73,56.45,209.5,1.617,92.67,50.25,28.13,0,11,1.87,0.2792
176.6,76.27,287.37,1.485,71.74,37.07,34.01,1,138,1.28,1.5041
196.97,49.4,177.44,1.371,85.17,40.16,25.63,0,21,1.84,0.4877
173.69,59.84,287.63,2.087,83.43,82.92,30.04,1,141,1.71,0.7047
217.85,60.88,155.53,1.694,86.93,44.4,26.36,0,18,1.77,0.4488
129.09,74.21,274.85,1.911,82.11,56.6,27.88,1,103,1.74,0.6715
158.36,71.95,232.23,2.003,80.9,78.83,28.22,1,54,1.94,0.7313
234.45,62.09,195.23,1.595,86.4,52.74,25.95,0,42,1.78,0.4558
125.92,56.95,283.69,2.02,88.57,59.07,22.51,1,127,1.97,0.3117
160.65,57.88,240.34,1.955,80.23,39.28,28.87,1,124,1.81,0.786
228.16,44.04,157.53,1.698,75.66,45.68,26.7,0,26,1.63,0.8526
198.07,40.75,196.41,1.733,80.53,57.84,27.37,0,34,1.67,0.7094
156.55,53.48,272.83,1.885,78.17,50.07,26.22,1,93,1.76,0.7434
227.1,55.85,178.15,1.457,79.61,32.1,27.29,0,24,1.52,0.7394
146.45,70.41,223.66,1.904,82.56,52.05,27.9,1,106,1.95,0.6554
183.45,43.74,150.48,1.606,88.29,74.83,23.34,0,18,1.84,0.3358
177.26,66.9,225.79,2.043,91.69,36.38,27.45,1,82,2.07,0.3042
216.93,63.83,181.55,1.695,80.1,31.03,27.46,0,25,1.49,0.7289
146.77,73.29,258.57,2.117,89.35,36.53,24.47,1,50,2.1,0.3269
159.35,74.17,241.5,2.043,81.36,67.78,30.74,1,78,1.94,0.8251
145.98,58.4,265.34,2.028,90.9,73.71,25.65,1,110,1.96,0.2996
136.99,66.24,286.72,2.198,85.08,32.68,28.11,1,52,1.6,0.5676
182.32,42.24,206.98,1.601,77.64,78.82,27.57,0,25,1.6,0.8243
134.02,75.26,225.63,2.071,74.45,64.5,27.15,1,105,1.97,0.919
191.93,58.88,203.94,1.638,85.94,58.5,25.69,0,42,1.76,0.464
189.83,55.54,209.15,1.579,79.37,43.95,28.32,0,33,1.63,0.7944
223.62,54.69,192.37,1.58,78.53,50.44,26.75,0,12,1.63,0.7543
201.76,52.61,207.63,1.759,77.54,82.08,26.25,0,36,1.75,0.7662
143.07,67.25,292.11,1.989,82.95,80.14,28.17,1,63,1.68,0.6509
126.35,52.74,258.57,1.958,92.82,64.4,24.69,1,95,2.18,0.2233
225.38,53.74,157.91,1.512,81.02,61.84,27.15,0,12,1.66,0.6827
212.91,41.76,190.96,1.651,82.5,41.58,31.05,0,23,1.64,0.7884
178.82,68.42,239.07,1.939,83.03,82.43,26.62,1,76,1.99,0.5917
204.67,54.02,182.4,1.64,76.27,71.55,27.54,0,21,1.62,0.8732
231.82,63.0,161.21,1.621,88.28,51.02,25.44,0,25,1.88,0.3811
198.01,62.86,181.61,1.549,79.74,74.87,24.76,0,36,1.54,0.6327
124.57,51.11,275.2,1.833,79.87,41.65,30.82,1,147,1.66,0.8951
121.9,53.38,265.8,1.876,82.31,41.73,26.09,1,56,1.72,0.5978
203.04,54.58,181.42,1.495,82.86,73.5,32.34,0,32,1.57,0.8308
213.02,61.21,163.04,1.48,78.69,60.76,26.13,0,43,1.57,0.7218
146.61,50.97,294.24,2.055,81.4,60.57,31.17,1,60,1.76,0.8437
169.12,67.02,259.09,2.256,80.61,61.55,25.21,1,69,2.02,0.622
195.1,56.94,166.24,1.539,84.83,36.92,22.35,0,19,1.7,0.4097
138.52,76.61,254.24,1.954,63.11,49.23,29.12,1,127,1.76,1.488
233.97,41.82,170.87,1.53,94.08,61.52,26.53,0,27,1.82,0.2053
199.61,41.19,168.75,1.703,84.97,43.62,28.09,0,7,1.66,0.5711
169.66,78.37,234.86,2.051,77.02,57.72,29.6,1,73,1.94,0.9529
182.62,40.9,202.39,1.598,78.93,60.64,25.49,0,11,1.54,0.6872
143.9,63.15,284.1,1.854,79.14,81.85,28.76,1,97,1.73,0.8241
234.55,57.81,150.54,1.484,88.61,43.52,24.97,0,27,1.77,0.3602
222.42,41.99,161.19,1.621,76.22,54.16,24.24,0,29,1.56,0.7199
173.81,56.01,290.7,2.027,77.64,83.98,32.39,1,47,1.67,1.0868
198.02,53.05,203.92,1.598,94.8,40.27,23.95,0,28,1.84,0.1547
144.15,59.34,260.92,2.08,74.91,72.9,29.91,1,110,1.74,1.0591
194.64,62.54,168.25,1.453,85.84,39.74,24.51,0,25,1.72,0.4356
203.39,44.93,168.16,1.636,93.68,76.75,27.6,0,21,1.78,0.2334
226.51,49.51,203.83,1.63,83.57,56.84,30.1,0,43,1.56,0.7011
169.8,56.57,233.56,1.885,82.63,83.47,28.33,1,59,1.97,0.6693
212.26,59.37,180.69,1.527,89.52,39.35,22.79,0,19,1.66,0.2907
133.22,68.42,237.68,2.083,76.86,67.84,31.82,1,89,1.98,1.0891
195.38,63.22,162.57,1.463,90.12,68.24,26.53,0,31,1.8,0.3427
167.29,59.66,228.1,2.296,82.66,69.54,25.38,1,66,2.04,0.5618
191.13,57.21,171.48,1.667,74.66,35.55,25.61,0,9,1.5,0.8323
141.49,63.55,241.89,1.993,78.43,45.87,30.12,1,79,1.99,0.9215
179.93,65.41,279.26,1.97,75.79,48.59,29.86,1,143,1.79,1.019
143.03,78.46,244.6,2.095,81.69,47.84,27.12,1,99,1.83,0.6574
134.87,79.38,277.66,1.951,74.78,67.13,34.91,1,84,1.53,1.411
157.39,69.85,235.68,1.956,90.37,33.02,25.69,1,49,2.13,0.3178
168.11,78.34,238.4,2.174,87.47,70.15,26.12,1,73,2.23,0.4242
229.41,48.37,155.3,1.543,86.62,58.96,24.66,0,13,1.85,0.4153
244.39,46.65,185.38,1.616,80.52,39.51,29.96,0,27,1.44,0.8247
122.14,59.45,228.94,1.909,78.21,42.44,26.66,1,90,2.05,0.7615
151.58,66.77,296.91,2.031,71.47,35.37,27.92,1,117,1.62,1.0734
135.42,68.15,234.19,2.07,80.28,55.25,30.87,1,106,1.98,0.8794
198.18,40.41,193.62,1.802,88.69,62.72,25.32,0,32,1.83,0.3652
187.25,40.37,203.83,1.488,86.43,61.95,22.81,0,31,1.81,0.3769
215.94,40.73,195.17,1.426,81.75,82.93,25.64,0,21,1.55,0.6005
162.64,58.2,232.45,1.968,83.63,46.28,29.1,1,90,1.9,0.6595
195.64,49.35,171.88,1.526,83.84,71.91,25.83,0,43,1.53,0.5378
210.79,55.2,156.06,1.598,93.6,69.77,24.81,0,26,1.76,0.2005
213.17,64.65,177.66,1.663,88.15,33.37,28.35,0,35,1.72,0.4571
219.58,48.86,205.49,1.872,89.04,81.15,25.84,0,43,1.73,0.3649
174.35,74.92,255.5,1.946,85.21,81.22,28.97,1,111,2.02,0.5914
183.31,44.87,161.07,1.335,76.93,51.8,26.8,0,37,1.62,0.8129
178.9,77.96,266.52,1.971,85.06,52.97,28.62,1,113,1.8,0.5854
184.26,57.48,177.93,1.642,81.24,75.08,31.26,0,21,1.62,0.8554
209.62,59.76,205.88,1.484,85.19,57.23,28.15,0,7,1.5,0.5647
182.93,43.1,159.66,1.628,84.03,73.96,28.82,0,18,1.66,0.6331
232.23,43.37,192.72,1.616,86.82,31.99,25.49,0,17,1.65,0.4299
195.61,42.81,190.9,1.631,95.0,43.76,24.45,0,15,1.75,0.1533
245.74,61.43,209.01,1.695,83.16,35.01,26.62,0,39,1.49,0.5871
158.54,63.62,230.62,1.99,87.15,54.98,27.82,1,90,2.23,0.4807
211.24,56.08,202.29,1.666,83.24,76.98,24.34,0,40,1.59,0.5104
124.78,63.06,237.85,1.784,84.48,61.34,29.97,1,126,2.0,0.6574
162.51,58.8,259.4,1.885,86.77,58.62,28.25,1,87,1.95,0.5074
147.54,65.83,253.38,1.959,87.46,50.14,24.29,1,117,2.14,0.3807
245.46,55.88,187.16,1.479,91.09,33.5,27.51,0,35,1.71,0.3273
209.56,41.08,176.94,1.601,78.7,72.15,27.08,0,11,1.52,0.763
236.6,64.84,162.16,1.559,82.13,61.39,25.49,0,17,1.56,0.5828
206.61,40.67,185.35,1.545,85.64,81.2,25.47,0,33,1.78,0.4678
175.4,71.73,264.56,2.106,85.22,53.76,29.65,1,69,1.71,0.6146
198.16,48.12,181.47,1.61,81.33,52.08,30.07,0,33,1.59,0.7954
200.25,60.79,155.43,1.47,90.05,83.59,26.53,0,31,1.78,0.3451
141.33,79.87,254.72,1.928,82.62,37.76,23.96,1,89,1.84,0.5174
151.33,73.16,223.41,2.09,75.29,43.88,29.45,1,58,1.98,1.0158
151.8,57.49,239.52,2.024,80.87,56.85,31.3,1,82,1.99,0.8742
201.37,41.97,191.25,1.744,85.2,58.79,24.35,0,31,1.82,0.451
227.53,55.2,169.07,1.702,87.14,60.18,25.64,0,28,1.76,0.4232
242.26,44.86,180.35,1.553,82.76,41.67,27.33,0,17,1.56,0.6267
227.22,57.36,170.47,1.772,80.87,80.98,27.7,0,31,1.54,0.7106
237.95,59.63,202.82,1.782,81.55,68.69,28.42,0,25,1.61,0.7146
218.05,61.26,209.64,1.386,80.54,44.21,30.12,0,10,1.58,0.8314
184.82,43.34,159.67,1.604,81.21,46.18,27.51,0,31,1.59,0.6902
187.03,51.39,151.41,1.534,84.54,78.42,24.39,0,40,1.78,0.4722
218.81,63.68,163.16,1.569,82.09,50.92,25.99,0,34,1.58,0.6017
169.29,76.8,220.55,1.902,89.08,60.6,25.22,1,147,2.17,0.3505
132.73,55.72,252.71,1.887,82.53,36.62,28.82,1,117,1.93,0.6925
162.8,58.9,264.41,2.108,90.83,43.85,31.06,1,118,1.9,0.4134
226.65,63.06,174.52,1.46,82.29,52.91,28.91,0,14,1.67,0.7057
206.95,51.0,186.63,1.611,80.57,66.09,26.86,0,32,1.58,0.6871
236.18,60.94,177.34,1.438,95.0,45.41,28.18,0,44,1.88,0.191
142.62,78.89,260.13,2.152,80.58,82.29,32.21,1,140,1.69,0.9344
126.4,72.81,270.89,2.004,88.08,42.11,27.08,1,105,1.93,0.427
248.96,43.7,193.76,1.689,85.26,72.84,28.0,0,36,1.57,0.5572
165.88,73.42,288.92,2.023,83.94,50.05,29.63,1,85,1.72,0.6671
225.13,44.88,188.97,1.57,84.58,75.84,28.44,0,18,1.48,0.598
239.88,62.34,174.84,1.608,78.16,80.77,26.47,0,37,1.54,0.7548
170.47,65.05,248.18,2.181,86.33,40.29,25.57,1,122,2.15,0.448
145.23,67.97,291.35,1.892,73.98,57.03,29.89,1,114,1.8,1.0971
172.05,57.97,292.06,1.694,79.4,38.49,30.26,1,106,1.65,0.8872
151.56,56.1,237.94,1.906,78.21,68.82,28.51,1,63,2.01,0.8484
183.9,45.42,176.5,1.455,87.18,75.77,24.57,0,41,1.78,0.3958
163.11,68.71,228.23,2.116,81.55,51.42,30.69,1,83,1.97,0.8144
236.0,52.87,186.66,1.579,86.9,51.82,25.57,0,32,1.77,0.4293
167.37,71.61,286.93,2.099,84.81,41.21,26.81,1,99,1.73,0.5356
228.6,64.9,190.0,1.604,82.09,46.86,24.86,0,28,1.6,0.5626
127.64,60.6,232.38,2.001,83.22,47.81,25.53,1,94,2.04,0.5486
182.17,61.35,158.38,1.62,88.99,38.56,25.68,0,40,1.73,0.3632
129.89,65.18,285.34,2.178,87.71,47.05,27.92,1,107,1.92,0.4624
207.74,45.82,169.44,1.622,80.84,79.9,23.25,0,35,1.56,0.5465
179.46,76.34,229.14,2.133,74.26,47.9,28.43,1,97,1.96,0.9976
219.32,64.39,184.29,1.725,77.76,45.09,29.01,0,26,1.61,0.8914
209.46,50.65,164.8,1.58,90.28,51.16,24.94,0,34,1.82,0.3068
225.62,40.06,200.47,1.591,89.23,82.82,27.04,0,34,1.79,0.3849
213.87,52.48,158.6,1.555,78.28,72.05,27.33,0,14,1.54,0.7895
132.55,68.38,227.62,2.154,81.87,41.1,30.18,1,115,2.01,0.7772
239.74,59.4,165.19,1.487,94.3,71.39,24.86,0,24,1.84,0.1791
160.04,54.41,293.68,1.913,84.77,72.14,27.56,1,145,1.64,0.5611
203.06,62.88,182.91,1.567,91.74,82.26,25.4,0,16,1.79,0.268
210.58,63.5,197.46,1.462,91.05,79.01,23.83,0,33,1.75,0.2643
161.44,72.1,267.71,1.929,76.3,35.24,29.61,1,104,1.65,0.9833
157.17,75.14,292.25,2.136,81.63,55.0,27.69,1,107,1.8,0.6819
206.68,45.65,162.91,1.678,79.17,68.66,31.68,0,44,1.67,0.9727
170.15,58.1,245.09,1.95,78.47,83.54,32.83,1,83,1.92,1.0727
155.39,69.83,239.91,2.096,84.57,34.68,30.57,1,55,1.92,0.6764
246.59,50.43,187.21,1.85,86.43,50.25,25.68,0,9,1.83,0.4476
175.31,68.68,239.04,2.038,66.04,57.07,29.76,1,91,1.89,1.4212
175.79,76.62,277.9,2.17,75.05,52.73,28.76,1,69,1.67,0.9856
159.85,51.23,271.59,2.102,70.14,55.07,29.36,1,143,1.49,1.2212
184.06,43.42,167.3,1.565,85.92,50.3,24.95,0,39,1.74,0.4447
126.26,74.81,277.8,2.024,80.7,83.38,31.12,1,136,1.63,0.873
229.5,51.93,163.49,1.663,86.22,74.18,25.22,0,41,1.8,0.4423
205.14,49.89,199.36,1.511,77.67,70.52,27.82,0,43,1.67,0.8353
195.38,52.15,172.38,1.287,85.17,52.59,28.55,0,37,1.6,0.5788
244.06,63.5,154.03,1.5,86.15,78.48,27.7,0,13,1.6,0.5144
156.01,73.11,225.17,1.741,75.33,35.13,28.77,1,77,1.84,0.9751
154.6,60.55,269.45,1.91,73.9,37.89,29.19,1,72,1.61,1.057
137.37,68.42,259.53,1.795,82.03,82.47,28.29,1,71,1.97,0.6908
