jam,soil_moisture,soil_temperature,air_temperature,air_humidity,nitrogen,fosfor,kalium,ec,irrigation_action
21,68.7,28.1,27.7,75.3,67.8,82.3,108.7,1.75,0
22,67.1,27.5,27.4,75.1,68.0,83.0,108.2,1.77,0
23,65.6,27.8,26.9,75.9,66.8,84.9,109.8,2.08,0
0,64.4,27.0,25.0,79.0,66.5,83.4,108.8,2.14,0
1,63.2,25.9,24.2,78.2,65.2,84.9,109.5,2.01,0
2,62.4,25.8,23.9,74.8,67.7,81.1,112.3,1.9,0
3,62.1,25.4,23.3,76.7,64.8,74.8,110.4,1.85,0
4,60.8,24.7,23.4,82.5,69.4,73.5,109.7,2.09,0
5,60.3,25.8,24.5,81.9,67.0,70.8,113.4,1.95,0
6,69.7,25.4,24.9,77.9,69.0,74.2,112.9,1.91,1
7,67.4,25.0,25.6,74.6,68.5,75.4,115.6,1.92,0
8,65.1,24.9,26.7,72.8,67.1,74.7,116.6,1.99,0
9,62.3,25.8,29.0,68.3,67.4,78.0,114.3,2.0,0
10,59.4,25.4,29.6,67.5,68.8,79.3,114.3,2.05,0
11,58.2,26.8,30.2,69.0,68.5,82.3,116.4,1.92,0
12,67.8,27.5,31.6,63.4,67.3,78.8,114.2,2.07,1
13,65.6,28.6,31.8,62.6,68.5,77.3,112.7,2.06,0
14,64.4,28.4,31.1,61.8,68.8,79.9,115.2,1.95,0
15,74.1,28.6,32.3,65.1,70.4,83.2,116.9,1.89,1
16,72.4,29.8,31.9,63.8,70.1,80.9,117.3,2.08,0
17,70.3,29.1,30.7,67.8,71.3,80.2,115.5,2.13,0
18,70.1,29.4,30.1,67.4,69.2,81.1,118.2,2.18,0
19,69.8,28.5,29.7,72.6,68.4,83.3,115.9,2.21,0
20,68.9,28.0,28.4,72.2,68.3,85.1,110.6,2.33,0
21,67.8,27.9,28.3,73.7,68.4,87.7,108.6,2.38,0
22,67.0,27.9,28.1,71.9,66.2,87.7,112.5,2.45,0
23,66.8,28.3,26.1,76.0,69.3,86.9,110.5,2.4,0
0,65.8,26.6,25.7,77.9,70.0,89.3,107.4,2.12,0
1,65.1,26.6,25.5,79.1,68.0,88.4,105.2,2.22,0
2,64.3,25.8,24.1,79.9,66.5,92.0,101.6,2.18,0
3,63.9,26.2,23.2,80.0,69.1,89.8,98.7,2.25,0
4,62.8,25.9,24.7,77.9,68.5,91.0,102.3,2.29,0
5,61.9,25.3,23.0,75.2,71.3,87.1,99.3,2.35,0
6,70.7,25.2,26.4,76.1,71.9,86.9,99.6,2.4,1
7,68.1,25.3,26.7,77.8,73.9,88.2,105.1,2.46,0
8,66.5,23.9,27.5,74.8,75.8,90.1,105.3,2.39,0
9,65.0,26.0,28.7,72.7,78.6,88.4,102.9,2.48,0
10,63.5,27.1,31.4,68.6,80.3,87.6,107.3,2.33,0
11,60.6,26.8,30.3,66.3,81.1,84.9,109.1,2.24,0
12,70.1,26.9,30.8,64.5,78.1,89.6,110.9,2.26,1
13,68.2,27.8,31.5,60.9,81.7,88.0,110.9,2.17,0
14,67.0,28.6,31.7,64.5,80.6,84.7,107.2,2.25,0
15,76.3,29.8,30.8,63.5,81.3,82.2,107.2,2.35,1
16,74.1,29.4,31.4,64.4,81.5,81.0,109.2,2.36,0
17,71.2,29.4,30.8,64.9,81.7,81.1,107.8,2.23,0
18,69.4,28.9,29.3,67.9,80.3,84.7,106.8,2.23,0
19,68.7,28.5,30.5,71.2,79.1,82.9,105.4,2.14,0
20,68.0,28.6,27.3,72.6,79.3,82.7,106.5,2.4,0
21,65.2,29.2,26.6,71.1,78.1,79.3,104.2,2.3,0
22,64.5,27.4,27.1,74.9,79.0,81.7,104.9,2.29,0
23,63.5,27.1,25.8,75.9,78.3,79.8,110.0,2.15,0
0,61.8,27.2,25.7,73.7,78.4,82.2,114.0,1.99,0
1,60.3,27.0,24.3,80.2,79.1,78.3,110.7,2.09,0
2,59.0,26.0,23.5,78.1,80.4,75.8,114.8,1.98,0
3,57.8,25.3,23.6,80.9,80.3,79.6,115.1,1.88,0
4,56.7,24.8,23.5,78.6,80.8,78.9,113.5,1.93,0
5,55.5,25.5,24.7,80.9,78.6,78.0,114.7,1.74,0
6,65.9,24.6,24.6,80.4,77.1,79.2,115.1,1.68,1
7,64.3,25.3,26.6,76.5,76.1,81.0,117.9,1.76,0
8,61.6,25.0,27.8,74.4,77.9,82.9,117.3,1.84,0
9,59.7,25.8,29.5,69.4,75.1,82.6,114.5,1.78,0
10,56.7,26.7,30.7,67.4,69.4,82.7,115.3,1.85,0
11,54.1,27.2,31.7,63.9,70.3,83.1,117.1,1.83,0
12,64.8,28.0,32.4,66.4,71.5,81.0,118.3,1.9,1
13,62.0,27.8,31.6,66.1,69.5,79.0,120.2,1.77,0
14,59.3,28.3,31.7,63.3,68.0,80.2,120.6,1.96,0
15,70.5,29.3,30.2,64.8,70.2,78.5,119.5,1.94,1
16,68.5,28.4,31.5,64.3,70.1,77.4,118.4,1.99,0
17,66.5,29.5,30.1,64.3,69.5,77.8,120.4,1.86,0
18,65.2,28.4,30.3,67.1,72.5,76.7,119.7,1.93,0
19,64.4,28.6,29.7,67.4,71.4,73.3,119.9,2.02,0
20,64.3,28.5,27.3,67.7,74.3,72.2,119.4,2.12,0
21,63.8,27.6,26.8,73.4,74.7,73.7,117.8,2.15,0
22,62.4,27.8,26.5,72.7,74.2,75.4,119.6,2.34,0
23,61.6,27.1,25.6,75.9,69.8,74.5,120.8,2.27,0
0,60.6,26.7,25.5,72.6,68.8,75.2,121.5,2.29,0
1,59.6,26.9,23.8,78.6,69.3,75.6,123.5,2.29,0
2,59.3,25.8,24.4,78.1,64.8,72.3,120.9,2.42,0
3,58.8,26.0,22.7,78.7,65.4,69.7,121.6,2.32,0
4,58.1,25.8,22.3,81.6,64.9,71.5,121.6,2.23,0
5,57.1,25.9,24.8,79.3,64.9,76.6,121.1,2.24,0
6,67.0,24.6,23.9,78.7,63.3,79.7,122.4,2.16,1
7,65.7,25.4,25.6,76.1,63.2,80.4,122.6,2.01,0
8,64.8,25.5,26.2,74.3,59.5,74.2,123.7,2.29,0
9,62.7,25.4,27.6,69.2,56.8,76.6,118.7,2.39,0
10,61.2,25.6,29.7,68.0,55.6,79.0,116.5,2.23,0
11,59.4,26.2,30.7,65.5,54.1,78.1,113.7,2.24,0
12,69.7,27.7,32.5,65.8,53.4,79.1,114.0,2.22,1
13,68.1,28.4,32.4,63.0,54.7,80.1,113.4,2.38,0
14,66.4,29.1,31.7,65.5,51.6,78.2,111.7,2.28,0
15,76.8,28.9,32.3,65.6,53.0,81.7,113.9,2.37,1
16,74.8,28.9,32.1,64.5,53.4,81.3,110.8,2.2,0
17,72.8,28.0,31.0,68.0,52.5,82.2,110.5,2.22,0
18,71.9,28.7,29.7,67.3,53.7,83.8,109.8,2.22,0
19,70.4,28.9,30.1,68.4,53.2,84.3,109.5,2.3,0
20,69.1,27.9,29.8,69.7,51.1,87.8,111.2,2.22,0
21,69.1,27.8,28.1,70.9,53.2,88.0,111.0,2.22,0
22,68.5,27.9,28.2,75.0,52.7,87.4,110.9,2.21,0
23,66.1,27.4,26.7,75.6,54.1,89.3,117.7,2.27,0
0,65.3,26.8,26.0,76.8,54.3,91.7,119.3,2.34,0
1,64.3,25.6,23.9,80.0,52.1,93.2,120.1,2.36,0
2,62.2,25.7,23.5,80.9,54.7,92.4,116.5,2.34,0
3,61.6,25.2,24.0,80.0,54.7,89.5,120.4,2.35,0
4,60.9,25.9,22.7,76.5,56.0,92.2,122.3,2.2,0
5,58.9,24.6,23.8,80.4,53.7,93.9,124.2,2.14,0
6,68.7,25.2,25.6,74.6,54.3,89.6,124.4,2.12,1
7,66.2,25.3,25.5,74.4,53.3,92.3,124.7,2.15,0
8,63.6,25.3,27.7,73.1,54.1,87.6,125.0,2.26,0
9,62.5,25.3,27.6,73.4,52.9,83.1,124.3,2.27,0
10,60.3,26.8,29.6,63.5,54.5,87.7,126.6,2.32,0
11,58.7,26.3,31.9,63.1,53.1,87.7,128.4,2.43,0
12,68.2,27.2,31.9,63.2,56.6,89.3,124.1,2.33,1
13,66.0,28.3,32.2,65.2,56.4,91.3,126.6,2.29,0
14,63.9,28.7,33.3,61.2,57.0,90.1,124.5,2.16,0
15,74.3,28.7,32.7,63.3,55.6,89.5,124.3,2.24,1
16,72.5,28.7,30.5,67.7,57.2,90.5,121.5,2.27,0
17,68.6,29.0,31.7,68.2,58.0,89.0,119.3,2.43,0
18,67.4,27.9,29.5,66.9,58.2,91.3,117.7,2.38,0
19,66.6,27.9,29.2,71.4,57.9,88.3,117.8,2.46,0
20,64.5,28.6,28.4,71.3,54.0,90.7,118.0,2.55,0
21,62.6,27.0,28.4,71.2,56.8,89.9,119.2,2.63,0
22,60.6,27.4,25.9,73.2,58.5,89.4,122.0,2.47,0
23,58.6,27.2,26.4,74.9,58.7,87.8,116.0,2.66,0
0,56.6,26.5,25.7,75.4,59.1,87.8,118.5,2.61,0
1,54.8,26.2,25.4,79.3,58.3,87.7,118.8,2.46,0
2,53.5,26.2,24.2,81.1,58.2,87.1,116.9,2.3,0
3,51.5,25.5,24.9,77.2,60.1,88.1,119.1,2.2,0
4,50.2,24.4,23.4,81.2,58.2,83.9,117.2,2.27,0
5,49.2,25.4,25.2,77.6,53.4,83.9,117.7,2.27,0
6,60.9,25.1,25.2,78.0,50.5,86.7,119.5,2.16,1
7,58.2,25.0,24.9,76.5,54.0,87.8,121.6,2.14,0
8,56.7,24.8,27.6,75.2,55.5,86.1,118.6,2.11,0
9,53.4,24.7,28.8,70.6,55.1,82.4,113.1,2.34,0
10,51.9,26.8,29.7,68.4,54.5,81.9,113.7,2.42,0
11,49.5,26.6,30.5,68.8,56.6,81.6,113.3,2.6,0
12,59.9,27.7,31.6,67.4,58.9,82.7,112.0,2.68,1
13,58.1,28.2,30.8,65.9,57.5,86.0,112.9,2.63,0
14,55.9,28.5,33.3,65.5,60.3,85.4,113.1,2.74,0
15,65.7,29.5,30.8,65.6,60.7,85.7,111.8,2.65,1
16,64.1,29.5,30.7,68.5,58.6,83.2,110.9,2.63,0
17,61.7,29.4,31.6,68.0,57.3,84.7,111.9,2.5,0
18,61.5,28.5,30.5,66.8,59.1,85.0,111.0,2.52,0
19,61.2,28.2,29.8,69.7,58.1,84.0,108.3,2.37,0
20,60.7,28.8,29.6,71.9,57.5,85.7,110.2,2.48,0
21,59.6,28.1,27.3,70.3,59.9,88.3,109.2,2.41,0
22,57.7,27.6,25.9,73.4,61.9,91.5,113.6,2.33,0
23,57.5,26.9,26.7,79.1,62.8,88.8,114.3,2.29,0
0,56.8,26.2,26.0,75.3,64.7,94.1,116.8,2.12,0
1,55.3,26.8,24.5,79.4,67.8,88.1,116.1,2.14,0
2,54.4,26.0,23.3,79.9,68.6,91.9,118.6,2.01,0
3,53.2,25.3,25.1,81.6,67.6,93.9,119.7,2.12,0
4,51.6,25.3,24.5,78.6,67.9,93.4,119.1,2.35,0
5,50.4,24.7,23.1,78.1,69.7,94.1,118.6,2.4,0
6,59.9,24.8,25.6,78.2,69.1,91.6,119.4,2.38,1
7,58.1,24.7,24.8,74.9,69.9,95.0,120.5,2.32,0
8,56.2,25.3,26.9,76.2,67.7,90.6,121.7,2.44,0
9,54.1,25.6,27.8,70.9,67.1,87.6,121.8,2.49,0
10,51.9,25.9,29.5,69.5,68.7,86.7,120.0,2.46,0
11,50.3,27.4,30.4,64.1,70.7,84.7,117.6,2.45,0
12,59.7,27.4,31.3,65.5,65.3,85.6,118.4,2.54,1
13,57.8,27.8,32.6,68.5,64.4,85.5,119.1,2.55,0
14,54.7,28.7,32.1,64.1,63.8,85.0,117.6,2.43,0
15,64.9,29.2,32.2,62.7,62.5,84.2,117.7,2.44,1
16,63.4,28.5,32.1,67.6,65.5,79.1,118.5,2.33,0
17,60.6,29.7,30.4,65.8,67.1,80.2,116.2,2.33,0
18,60.1,28.9,30.1,65.7,66.7,82.0,117.3,2.44,0
19,59.6,28.4,29.7,67.5,66.2,84.5,114.4,2.41,0
20,59.1,28.8,29.8,69.0,67.9,85.8,114.1,2.46,0
21,58.1,28.3,28.3,73.8,66.8,86.7,115.7,2.6,0
22,57.6,28.4,27.9,72.9,66.7,86.2,117.7,2.7,0
23,57.3,27.6,26.8,74.4,69.2,91.0,116.8,2.59,0
0,56.5,26.5,26.2,76.7,69.3,90.1,117.8,2.57,0
1,56.3,26.4,23.3,79.2,68.7,84.8,116.3,2.76,0
2,55.5,26.0,25.1,80.9,65.9,82.8,116.4,2.87,0
3,54.2,26.0,24.3,82.0,64.8,87.8,118.0,2.83,0
4,52.8,24.7,24.0,79.4,66.3,85.4,118.4,2.89,0
5,52.3,25.4,23.8,81.3,67.3,86.0,116.2,2.94,0
6,62.9,24.9,24.6,76.7,71.3,82.9,113.9,2.91,1
7,60.5,24.5,26.3,79.1,73.0,80.7,116.4,2.79,0
8,58.4,24.6,28.0,74.5,70.0,80.4,117.2,2.86,0
9,56.2,25.1,27.5,71.1,68.2,78.2,116.8,2.75,0
10,54.8,26.2,30.2,65.1,69.3,78.2,116.9,2.68,0
11,51.9,26.9,30.6,67.6,71.0,80.8,118.5,2.68,0
12,62.8,27.4,31.0,63.6,68.8,79.8,116.8,2.55,1
13,61.0,28.4,32.3,62.9,68.2,81.3,116.5,2.64,0
14,58.0,28.3,31.6,62.7,67.1,85.3,111.5,2.45,0
15,67.4,29.1,31.1,63.6,64.7,89.0,110.4,2.53,1
16,65.2,29.2,30.6,66.4,64.8,90.8,107.9,2.68,0
17,63.0,28.9,30.9,67.4,64.0,91.8,105.4,2.67,0
18,62.0,28.5,30.0,68.1,65.9,89.0,105.7,2.48,0
19,61.1,28.3,28.4,72.9,71.1,89.5,108.6,2.46,0
20,59.7,28.0,27.7,68.9,71.4,88.2,108.7,2.54,0
21,59.7,28.1,27.4,73.4,68.1,89.3,109.6,2.48,0
22,58.8,27.6,27.1,72.1,70.0,87.0,110.1,2.33,0
23,57.6,26.6,25.2,77.0,70.8,86.0,111.7,2.23,0
0,57.2,27.0,25.7,78.4,69.2,84.2,115.2,2.17,0
1,55.5,26.6,24.1,78.7,67.1,83.7,117.1,2.1,0
2,55.3,25.6,26.5,80.2,68.0,86.1,118.2,2.2,0
3,53.6,26.0,23.3,80.9,66.8,86.5,120.3,2.12,0
4,53.7,25.7,23.4,80.9,70.6,90.3,117.5,2.07,0
5,51.7,25.2,24.4,77.0,71.6,87.8,119.7,1.89,0
6,61.3,24.9,24.2,79.7,73.1,87.2,113.2,1.95,1
7,59.1,25.5,26.7,79.1,73.2,86.9,110.2,1.75,0
8,57.6,25.1,28.7,75.4,72.8,87.0,113.5,1.67,0
9,55.7,26.1,28.4,70.1,73.7,87.7,111.8,1.78,0
10,54.8,26.0,30.1,71.5,76.9,88.1,110.9,1.68,0
11,52.8,25.3,30.6,66.3,78.7,86.2,110.3,1.75,0
12,62.7,26.9,31.8,66.6,79.2,86.0,108.6,1.87,1
13,61.5,28.3,33.1,65.2,80.7,85.6,107.0,1.99,0
14,60.4,28.7,32.6,66.8,80.5,84.6,105.3,2.11,0
15,69.6,29.2,30.9,61.8,80.1,88.1,101.5,2.29,1
16,68.4,29.4,32.5,64.1,79.8,88.6,101.0,2.51,0
17,67.2,29.6,31.6,67.6,76.6,88.2,99.2,2.46,0
18,65.4,28.7,30.4,67.6,77.3,85.1,93.3,2.55,0
19,64.7,29.0,28.7,68.9,76.4,88.8,95.6,2.64,0
20,63.4,28.6,28.5,73.9,75.4,88.9,94.1,2.5,0
21,61.5,27.7,26.9,71.8,74.2,87.1,93.8,2.46,0
22,61.0,27.9,27.1,75.0,73.9,87.3,94.4,2.35,0
23,60.6,27.6,25.7,76.7,72.0,88.1,92.9,2.45,0
0,59.8,27.2,23.5,76.9,72.7,87.9,94.2,2.42,0
1,58.3,27.1,25.5,74.3,71.8,87.6,95.4,2.56,0
2,58.1,27.0,24.5,76.0,71.8,90.2,96.8,2.54,0
3,57.1,25.7,25.0,79.4,72.7,93.1,96.5,2.36,0
4,56.3,25.2,23.9,84.0,73.6,96.3,96.8,2.33,0
5,55.0,25.5,24.4,78.2,74.7,100.2,96.9,2.17,0
6,64.1,25.1,25.8,78.1,75.0,101.7,99.8,2.16,1
7,62.3,25.3,26.3,79.7,73.7,101.1,99.7,2.06,0
8,60.7,25.2,27.5,73.5,75.4,103.0,104.1,2.07,0
9,58.9,24.8,31.3,71.5,74.8,104.0,105.1,2.05,0
10,57.3,25.8,29.9,68.6,77.6,102.2,101.8,1.91,0
11,56.4,26.3,31.2,64.4,80.4,101.6,100.4,2.0,0
12,66.1,26.5,33.1,62.9,79.3,97.4,96.9,2.05,1
13,63.0,28.2,31.4,63.1,78.3,95.8,96.1,1.94,0
14,61.6,29.2,31.1,64.2,78.6,97.4,95.9,1.9,0
15,71.3,28.5,30.5,63.4,79.3,96.2,97.2,1.89,1
16,68.7,29.4,31.7,64.6,76.1,93.8,97.8,2.06,0
17,65.9,28.4,31.2,67.1,78.0,93.0,99.0,2.2,0
18,65.5,28.5,30.6,70.2,77.4,97.0,94.0,2.2,0
19,64.0,28.6,28.2,73.8,80.0,97.2,93.5,2.2,0
20,62.6,28.5,29.2,69.9,80.7,100.5,95.9,2.17,0
21,61.9,28.6,28.5,73.3,83.5,102.7,92.0,2.16,0
22,61.1,27.5,26.7,72.7,86.2,103.3,92.4,2.09,0
23,60.1,27.3,26.0,74.9,88.1,103.1,95.7,2.03,0
0,58.8,26.7,25.9,74.3,88.8,100.9,98.1,2.08,0
1,56.7,26.5,25.1,81.6,85.5,95.5,99.4,1.92,0
2,56.8,25.5,24.9,78.5,84.5,94.0,102.0,1.76,0
3,54.3,25.5,23.2,81.6,79.7,94.0,101.0,1.92,0
4,53.3,25.3,23.9,78.1,82.4,94.2,102.7,1.99,0
5,51.6,24.4,23.3,75.3,85.5,96.7,104.6,1.9,0
6,61.4,25.2,25.4,81.2,83.3,95.9,104.5,1.95,1
7,59.3,25.0,26.4,73.1,81.6,91.0,104.9,1.93,0
8,57.4,24.8,27.2,71.5,81.9,91.2,107.2,1.93,0
9,55.5,25.3,28.9,72.8,79.4,90.6,106.7,1.9,0
10,51.9,26.0,28.8,68.2,82.6,89.1,104.5,1.82,0
11,50.5,27.3,31.8,65.5,80.9,86.1,103.7,1.86,0
12,60.6,27.1,31.4,66.9,79.9,85.5,106.5,1.79,1
13,58.0,27.5,32.1,63.5,78.3,82.1,106.8,1.87,0
14,55.9,28.6,32.8,65.6,80.4,84.1,106.7,1.82,0
15,65.5,29.5,31.0,62.5,79.6,85.6,109.1,2.08,1
16,61.7,28.9,32.2,68.1,82.2,84.2,104.3,2.04,0
17,60.5,29.0,30.8,65.6,79.2,85.7,107.6,2.16,0
18,60.4,28.4,30.0,68.3,79.4,85.6,110.6,2.07,0
19,59.8,28.3,29.7,68.2,82.0,87.4,110.3,1.95,0
20,59.5,28.6,27.4,69.7,81.6,89.4,113.1,1.9,0
21,59.1,28.1,28.1,72.3,82.4,89.1,109.6,1.79,0
22,57.9,27.7,26.8,76.1,82.2,92.3,110.7,1.78,0
23,56.9,27.1,26.8,75.6,81.9,90.4,113.3,1.87,0
0,55.8,27.2,25.2,77.7,84.7,93.2,116.7,1.73,0
1,55.0,26.1,24.5,77.6,81.8,91.4,123.0,1.89,0
2,53.4,26.3,24.6,81.7,81.6,89.6,123.1,1.93,0
3,53.0,25.8,24.0,77.2,80.8,90.2,122.6,1.94,0
4,52.0,24.9,23.1,77.0,77.9,90.6,123.1,1.95,0
5,51.0,24.9,24.1,82.1,77.5,92.4,123.7,2.13,0
6,61.3,24.6,25.9,74.2,77.3,93.8,121.2,2.18,1
7,59.4,25.1,25.9,79.1,75.4,90.3,119.8,2.27,0
8,57.2,25.2,26.6,73.4,73.0,87.6,116.2,2.44,0
9,55.0,25.1,29.3,71.4,74.2,86.5,112.4,2.37,0
10,51.7,25.8,28.5,68.6,76.3,86.8,111.1,2.26,0
11,50.4,26.5,29.4,64.7,74.6,85.4,112.8,2.2,0
12,60.6,27.5,31.8,65.4,74.9,84.1,108.0,2.26,1
13,58.8,28.1,32.1,67.7,76.0,83.7,111.1,2.23,0
14,57.8,28.7,32.1,66.4,79.1,83.6,109.4,2.32,0
15,67.3,29.4,30.9,63.4,77.6,84.5,106.9,2.28,1
16,65.4,29.1,31.1,67.8,74.7,83.6,105.8,2.35,0
17,62.9,29.4,29.6,64.5,71.0,83.5,101.4,2.21,0
18,62.6,28.3,30.2,67.6,71.2,81.7,103.2,2.13,0
19,60.8,28.4,27.9,69.8,72.8,82.2,101.0,2.3,0
20,60.5,28.5,28.3,73.4,74.5,85.8,100.7,2.34,0
21,60.2,27.9,27.8,70.3,75.2,88.3,102.8,2.21,0
22,59.5,28.1,25.4,76.4,73.7,87.9,104.6,2.27,0
23,59.3,26.8,25.6,75.3,77.3,89.7,104.1,2.34,0
0,58.2,27.0,26.0,74.4,77.9,89.8,104.5,2.05,0
1,56.8,27.1,26.0,80.3,79.1,88.9,102.4,2.18,0
2,56.2,25.7,23.1,78.6,77.8,87.8,100.8,2.2,0
3,54.7,25.4,24.4,76.2,77.8,85.8,100.7,2.29,0
4,53.6,26.1,23.0,81.4,73.7,86.3,94.4,2.3,0
5,53.2,25.2,23.2,76.5,77.4,88.9,95.2,2.41,0
6,63.7,24.7,26.2,77.4,75.3,93.0,93.8,2.37,1
7,61.7,24.7,26.5,74.0,72.3,89.8,94.3,2.31,0
8,59.0,25.3,26.7,71.9,72.8,94.5,93.9,2.32,0
9,57.4,25.9,28.9,72.6,71.5,93.0,96.5,2.36,0
10,55.0,25.0,30.5,69.1,70.5,91.3,97.7,2.41,0
11,53.0,26.6,31.2,63.2,71.5,90.8,95.1,2.55,0
12,61.6,27.1,33.6,64.1,73.3,91.8,99.0,2.37,1
13,60.4,28.8,32.5,64.1,73.4,90.3,101.5,2.3,0
14,58.7,28.5,29.5,66.6,77.8,91.0,103.0,2.57,0
15,68.2,29.2,31.4,65.5,79.1,89.1,103.4,2.47,1
16,66.5,28.7,30.6,63.3,81.4,87.6,102.0,2.23,0
17,63.9,28.8,30.5,64.3,82.9,87.4,102.0,2.1,0
18,63.5,27.8,30.0,69.2,80.2,88.8,101.3,2.19,0
19,62.3,29.0,28.7,70.9,81.1,92.7,94.6,2.26,0
20,61.6,28.8,27.6,70.1,81.1,93.1,90.8,2.32,0
21,61.0,27.8,28.7,71.7,81.7,90.4,88.8,2.13,0
22,61.2,27.2,27.2,75.4,83.6,94.8,92.0,2.13,0
23,61.3,28.2,25.5,76.5,83.0,93.3,95.9,2.23,0
0,61.2,26.6,25.9,72.6,88.6,97.3,96.9,2.21,0
1,60.8,26.4,25.3,78.0,90.4,102.7,98.9,2.09,0
2,60.5,26.4,25.4,80.8,90.8,102.2,95.6,2.14,0
3,58.6,25.8,23.2,77.2,90.5,103.4,98.2,2.2,0
4,57.9,25.1,24.6,81.6,93.3,102.0,99.2,2.29,0
5,56.2,26.0,23.8,77.3,90.8,103.2,98.8,2.32,0
6,65.5,24.5,25.9,78.5,89.8,99.0,95.7,2.39,1
7,64.4,25.2,25.8,74.5,89.5,97.6,100.7,2.45,0
8,62.3,24.9,25.5,70.5,90.4,96.7,98.8,2.41,0
9,59.5,25.4,28.7,71.0,88.1,98.6,102.4,2.49,0
10,56.7,26.1,28.6,67.8,85.2,100.5,96.5,2.46,0
11,55.3,26.0,30.9,68.6,80.4,97.4,96.0,2.56,0
12,65.6,27.5,31.7,66.0,79.3,96.9,97.9,2.51,1
13,63.8,28.5,31.7,61.1,81.8,96.2,99.8,2.44,0
14,60.8,28.3,30.7,64.8,81.5,94.7,97.7,2.3,0
15,70.8,29.3,30.8,66.5,80.1,91.5,95.6,2.24,1
16,69.3,29.3,30.6,67.1,81.2,87.0,91.8,2.25,0
17,66.7,29.2,30.5,70.0,84.1,91.9,97.3,2.4,0
18,64.9,28.4,31.0,71.5,85.4,90.8,97.4,2.3,0
19,63.7,28.3,29.8,68.3,84.4,90.6,99.7,2.43,0
20,62.8,28.5,28.0,71.9,82.9,89.0,100.1,2.56,0
21,62.3,28.2,28.6,77.2,78.9,91.1,100.6,2.56,0
22,60.7,27.7,25.7,76.8,81.4,90.0,101.2,2.43,0
23,59.4,26.5,26.5,74.8,78.9,90.6,98.0,2.4,0
0,58.7,27.1,25.2,74.6,79.2,88.1,97.5,2.4,0
1,58.3,25.9,25.0,75.7,77.8,89.4,94.6,2.4,0
2,57.6,26.6,24.9,80.5,74.8,88.3,96.7,2.38,0
3,56.4,26.5,23.5,79.6,76.0,89.0,96.6,2.35,0
4,54.6,26.0,24.6,79.7,80.5,90.8,94.4,2.22,0
5,54.6,25.1,24.2,78.5,80.2,89.4,90.8,2.17,0
6,65.1,25.2,26.9,76.6,79.8,88.0,89.1,2.14,1
7,62.6,24.3,25.8,77.1,81.1,86.5,86.2,2.04,0
8,60.2,25.0,28.3,73.3,77.6,91.0,89.1,2.08,0
9,58.2,26.4,29.2,71.4,78.6,89.6,94.4,1.99,0
10,56.4,25.2,29.1,65.1,78.0,89.5,94.2,1.9,0
11,54.0,26.8,32.2,69.1,79.6,91.6,92.3,1.97,0
12,64.8,27.3,30.9,66.6,82.0,91.2,89.2,2.1,1
13,63.6,28.2,30.2,65.9,78.9,89.2,90.2,2.22,0
14,61.7,28.3,32.6,60.5,79.7,89.5,89.9,2.2,0
15,71.8,29.2,32.5,66.3,80.0,86.7,87.7,2.49,1
16,69.4,29.0,31.3,62.9,75.2,88.7,87.3,2.38,0
17,67.3,28.5,30.5,67.4,72.7,87.1,90.7,2.28,0
18,65.6,28.5,31.3,70.1,72.6,91.5,88.2,2.22,0
19,65.1,28.8,29.8,71.5,73.3,93.6,92.2,2.22,0
20,64.8,27.8,27.9,72.5,77.7,91.1,93.3,2.33,0
21,63.9,28.3,28.2,76.2,74.5,92.7,95.5,2.55,0
22,64.1,26.8,25.8,74.8,75.9,90.0,95.2,2.36,0
23,63.1,27.8,25.6,74.5,75.4,86.6,97.4,2.27,0
0,62.1,26.4,24.5,76.4,74.6,85.1,95.0,2.2,0
1,61.8,27.0,23.0,78.5,70.6,86.0,97.3,2.16,0
2,59.9,26.7,23.4,80.8,73.2,91.1,98.5,2.07,0
3,59.1,25.6,25.1,77.9,72.9,89.2,94.7,2.15,0
4,57.2,26.0,23.1,81.5,72.2,86.7,93.2,1.95,0
5,55.2,25.2,23.8,79.5,72.0,88.5,96.2,1.98,0
6,65.1,25.2,24.0,77.3,71.6,90.3,97.8,1.89,1
7,62.6,25.6,26.7,74.3,70.8,94.0,99.7,1.91,0
8,61.0,25.0,27.3,72.5,70.4,89.7,100.5,1.87,0
9,58.7,25.8,29.1,71.2,69.9,87.2,103.3,1.91,0
10,58.0,25.7,29.9,67.6,70.1,84.8,106.4,1.84,0
11,56.3,27.3,30.1,67.2,69.0,84.7,105.0,1.74,0
12,65.8,27.1,31.0,61.6,68.1,84.7,102.5,1.84,1
13,64.0,28.5,32.7,61.4,66.3,88.0,100.0,1.88,0
14,62.4,28.6,31.9,62.3,66.2,89.4,104.3,2.21,0
15,73.7,29.1,32.3,66.7,65.6,86.9,102.6,2.27,1
16,71.0,28.2,28.7,65.3,65.0,87.3,99.5,2.29,0
17,68.9,28.9,31.6,66.7,66.3,90.5,95.3,2.3,0
18,68.6,29.1,29.6,69.1,63.7,93.8,96.8,2.21,0
19,67.8,28.8,31.0,70.7,64.1,90.8,99.8,2.44,0
20,66.4,28.1,28.0,70.2,62.5,92.7,96.6,2.43,0
21,64.8,28.4,27.6,70.3,66.6,96.7,100.2,2.39,0
22,63.7,27.5,27.3,73.8,68.0,95.7,102.4,2.43,0
23,63.5,26.8,25.3,73.2,67.5,96.7,98.9,2.34,0
