jam,soil_moisture,soil_temperature,air_temperature,air_humidity,nitrogen,fosfor,kalium,ec,plant_age
9,55.7,26.1,28.4,70.1,73.7,87.7,111.8,1.78,56
10,54.8,26.0,30.1,71.5,76.9,88.1,110.9,1.68,56
11,52.8,25.3,30.6,66.3,78.7,86.2,110.3,1.75,56
12,62.7,26.9,31.8,66.6,79.2,86.0,108.6,1.87,56
13,61.5,28.3,33.1,65.2,80.7,85.6,107.0,1.99,56
14,60.4,28.7,32.6,66.8,80.5,84.6,105.3,2.11,56
15,69.6,29.2,30.9,61.8,80.1,88.1,101.5,2.29,56
16,68.4,29.4,32.5,64.1,79.8,88.6,101.0,2.51,56
17,67.2,29.6,31.6,67.6,76.6,88.2,99.2,2.46,56
18,65.4,28.7,30.4,67.6,77.3,85.1,93.3,2.55,56
19,64.7,29.0,28.7,68.9,76.4,88.8,95.6,2.64,56
20,63.4,28.6,28.5,73.9,75.4,88.9,94.1,2.5,56
21,61.5,27.7,26.9,71.8,74.2,87.1,93.8,2.46,56
22,61.0,27.9,27.1,75.0,73.9,87.3,94.4,2.35,56
23,60.6,27.6,25.7,76.7,72.0,88.1,92.9,2.45,56
0,59.8,27.2,23.5,76.9,72.7,87.9,94.2,2.42,57
1,58.3,27.1,25.5,74.3,71.8,87.6,95.4,2.56,57
2,58.1,27.0,24.5,76.0,71.8,90.2,96.8,2.54,57
3,57.1,25.7,25.0,79.4,72.7,93.1,96.5,2.36,57
4,56.3,25.2,23.9,84.0,73.6,96.3,96.8,2.33,57
5,55.0,25.5,24.4,78.2,74.7,100.2,96.9,2.17,57
6,64.1,25.1,25.8,78.1,75.0,101.7,99.8,2.16,57
7,62.3,25.3,26.3,79.7,73.7,101.1,99.7,2.06,57
8,60.7,25.2,27.5,73.5,75.4,103.0,104.1,2.07,57
9,58.9,24.8,31.3,71.5,74.8,104.0,105.1,2.05,57
10,57.3,25.8,29.9,68.6,77.6,102.2,101.8,1.91,57
11,56.4,26.3,31.2,64.4,80.4,101.6,100.4,2.0,57
12,66.1,26.5,33.1,62.9,79.3,97.4,96.9,2.05,57
13,63.0,28.2,31.4,63.1,78.3,95.8,96.1,1.94,57
14,61.6,29.2,31.1,64.2,78.6,97.4,95.9,1.9,57
15,71.3,28.5,30.5,63.4,79.3,96.2,97.2,1.89,57
16,68.7,29.4,31.7,64.6,76.1,93.8,97.8,2.06,57
17,65.9,28.4,31.2,67.1,78.0,93.0,99.0,2.2,57
18,65.5,28.5,30.6,70.2,77.4,97.0,94.0,2.2,57
19,64.0,28.6,28.2,73.8,80.0,97.2,93.5,2.2,57
20,62.6,28.5,29.2,69.9,80.7,100.5,95.9,2.17,57
21,61.9,28.6,28.5,73.3,83.5,102.7,92.0,2.16,57
22,61.1,27.5,26.7,72.7,86.2,103.3,92.4,2.09,57
23,60.1,27.3,26.0,74.9,88.1,103.1,95.7,2.03,57
0,58.8,26.7,25.9,74.3,88.8,100.9,98.1,2.08,58
1,56.7,26.5,25.1,81.6,85.5,95.5,99.4,1.92,58
2,56.8,25.5,24.9,78.5,84.5,94.0,102.0,1.76,58
3,54.3,25.5,23.2,81.6,79.7,94.0,101.0,1.92,58
4,53.3,25.3,23.9,78.1,82.4,94.2,102.7,1.99,58
5,51.6,24.4,23.3,75.3,85.5,96.7,104.6,1.9,58
6,61.4,25.2,25.4,81.2,83.3,95.9,104.5,1.95,58
7,59.3,25.0,26.4,73.1,81.6,91.0,104.9,1.93,58
8,57.4,24.8,27.2,71.5,81.9,91.2,107.2,1.93,58
9,55.5,25.3,28.9,72.8,79.4,90.6,106.7,1.9,58
10,51.9,26.0,28.8,68.2,82.6,89.1,104.5,1.82,58
11,50.5,27.3,31.8,65.5,80.9,86.1,103.7,1.86,58
12,60.6,27.1,31.4,66.9,79.9,85.5,106.5,1.79,58
13,58.0,27.5,32.1,63.5,78.3,82.1,106.8,1.87,58
14,55.9,28.6,32.8,65.6,80.4,84.1,106.7,1.82,58
15,65.5,29.5,31.0,62.5,79.6,85.6,109.1,2.08,58
16,61.7,28.9,32.2,68.1,82.2,84.2,104.3,2.04,58
17,60.5,29.0,30.8,65.6,79.2,85.7,107.6,2.16,58
18,60.4,28.4,30.0,68.3,79.4,85.6,110.6,2.07,58
19,59.8,28.3,29.7,68.2,82.0,87.4,110.3,1.95,58
20,59.5,28.6,27.4,69.7,81.6,89.4,113.1,1.9,58
21,59.1,28.1,28.1,72.3,82.4,89.1,109.6,1.79,58
22,57.9,27.7,26.8,76.1,82.2,92.3,110.7,1.78,58
23,56.9,27.1,26.8,75.6,81.9,90.4,113.3,1.87,58
0,55.8,27.2,25.2,77.7,84.7,93.2,116.7,1.73,59
1,55.0,26.1,24.5,77.6,81.8,91.4,123.0,1.89,59
2,53.4,26.3,24.6,81.7,81.6,89.6,123.1,1.93,59
3,53.0,25.8,24.0,77.2,80.8,90.2,122.6,1.94,59
4,52.0,24.9,23.1,77.0,77.9,90.6,123.1,1.95,59
5,51.0,24.9,24.1,82.1,77.5,92.4,123.7,2.13,59
6,61.3,24.6,25.9,74.2,77.3,93.8,121.2,2.18,59
7,59.4,25.1,25.9,79.1,75.4,90.3,119.8,2.27,59
8,57.2,25.2,26.6,73.4,73.0,87.6,116.2,2.44,59
9,55.0,25.1,29.3,71.4,74.2,86.5,112.4,2.37,59
10,51.7,25.8,28.5,68.6,76.3,86.8,111.1,2.26,59
11,50.4,26.5,29.4,64.7,74.6,85.4,112.8,2.2,59
12,60.6,27.5,31.8,65.4,74.9,84.1,108.0,2.26,59
13,58.8,28.1,32.1,67.7,76.0,83.7,111.1,2.23,59
14,57.8,28.7,32.1,66.4,79.1,83.6,109.4,2.32,59
15,67.3,29.4,30.9,63.4,77.6,84.5,106.9,2.28,59
16,65.4,29.1,31.1,67.8,74.7,83.6,105.8,2.35,59
17,62.9,29.4,29.6,64.5,71.0,83.5,101.4,2.21,59
18,62.6,28.3,30.2,67.6,71.2,81.7,103.2,2.13,59
19,60.8,28.4,27.9,69.8,72.8,82.2,101.0,2.3,59
20,60.5,28.5,28.3,73.4,74.5,85.8,100.7,2.34,59
21,60.2,27.9,27.8,70.3,75.2,88.3,102.8,2.21,59
22,59.5,28.1,25.4,76.4,73.7,87.9,104.6,2.27,59
23,59.3,26.8,25.6,75.3,77.3,89.7,104.1,2.34,59
0,58.2,27.0,26.0,74.4,77.9,89.8,104.5,2.05,60
1,56.8,27.1,26.0,80.3,79.1,88.9,102.4,2.18,60
2,56.2,25.7,23.1,78.6,77.8,87.8,100.8,2.2,60
3,54.7,25.4,24.4,76.2,77.8,85.8,100.7,2.29,60
4,53.6,26.1,23.0,81.4,73.7,86.3,94.4,2.3,60
5,53.2,25.2,23.2,76.5,77.4,88.9,95.2,2.41,60
6,63.7,24.7,26.2,77.4,75.3,93.0,93.8,2.37,60
7,61.7,24.7,26.5,74.0,72.3,89.8,94.3,2.31,60
8,59.0,25.3,26.7,71.9,72.8,94.5,93.9,2.32,60
9,57.4,25.9,28.9,72.6,71.5,93.0,96.5,2.36,60
10,55.0,25.0,30.5,69.1,70.5,91.3,97.7,2.41,60
11,53.0,26.6,31.2,63.2,71.5,90.8,95.1,2.55,60
12,61.6,27.1,33.6,64.1,73.3,91.8,99.0,2.37,60
13,60.4,28.8,32.5,64.1,73.4,90.3,101.5,2.3,60
14,58.7,28.5,29.5,66.6,77.8,91.0,103.0,2.57,60
15,68.2,29.2,31.4,65.5,79.1,89.1,103.4,2.47,60
16,66.5,28.7,30.6,63.3,81.4,87.6,102.0,2.23,60
17,63.9,28.8,30.5,64.3,82.9,87.4,102.0,2.1,60
18,63.5,27.8,30.0,69.2,80.2,88.8,101.3,2.19,60
19,62.3,29.0,28.7,70.9,81.1,92.7,94.6,2.26,60
20,61.6,28.8,27.6,70.1,81.1,93.1,90.8,2.32,60
21,61.0,27.8,28.7,71.7,81.7,90.4,88.8,2.13,60
22,61.2,27.2,27.2,75.4,83.6,94.8,92.0,2.13,60
23,61.3,28.2,25.5,76.5,83.0,93.3,95.9,2.23,60
0,61.2,26.6,25.9,72.6,88.6,97.3,96.9,2.21,61
1,60.8,26.4,25.3,78.0,90.4,102.7,98.9,2.09,61
2,60.5,26.4,25.4,80.8,90.8,102.2,95.6,2.14,61
3,58.6,25.8,23.2,77.2,90.5,103.4,98.2,2.2,61
4,57.9,25.1,24.6,81.6,93.3,102.0,99.2,2.29,61
5,56.2,26.0,23.8,77.3,90.8,103.2,98.8,2.32,61
6,65.5,24.5,25.9,78.5,89.8,99.0,95.7,2.39,61
7,64.4,25.2,25.8,74.5,89.5,97.6,100.7,2.45,61
8,62.3,24.9,25.5,70.5,90.4,96.7,98.8,2.41,61
9,59.5,25.4,28.7,71.0,88.1,98.6,102.4,2.49,61
10,56.7,26.1,28.6,67.8,85.2,100.5,96.5,2.46,61
11,55.3,26.0,30.9,68.6,80.4,97.4,96.0,2.56,61
12,65.6,27.5,31.7,66.0,79.3,96.9,97.9,2.51,61
13,63.8,28.5,31.7,61.1,81.8,96.2,99.8,2.44,61
14,60.8,28.3,30.7,64.8,81.5,94.7,97.7,2.3,61
15,70.8,29.3,30.8,66.5,80.1,91.5,95.6,2.24,61
16,69.3,29.3,30.6,67.1,81.2,87.0,91.8,2.25,61
17,66.7,29.2,30.5,70.0,84.1,91.9,97.3,2.4,61
18,64.9,28.4,31.0,71.5,85.4,90.8,97.4,2.3,61
19,63.7,28.3,29.8,68.3,84.4,90.6,99.7,2.43,61
20,62.8,28.5,28.0,71.9,82.9,89.0,100.1,2.56,61
21,62.3,28.2,28.6,77.2,78.9,91.1,100.6,2.56,61
22,60.7,27.7,25.7,76.8,81.4,90.0,101.2,2.43,61
23,59.4,26.5,26.5,74.8,78.9,90.6,98.0,2.4,61
0,58.7,27.1,25.2,74.6,79.2,88.1,97.5,2.4,62
1,58.3,25.9,25.0,75.7,77.8,89.4,94.6,2.4,62
2,57.6,26.6,24.9,80.5,74.8,88.3,96.7,2.38,62
3,56.4,26.5,23.5,79.6,76.0,89.0,96.6,2.35,62
4,54.6,26.0,24.6,79.7,80.5,90.8,94.4,2.22,62
5,54.6,25.1,24.2,78.5,80.2,89.4,90.8,2.17,62
6,65.1,25.2,26.9,76.6,79.8,88.0,89.1,2.14,62
7,62.6,24.3,25.8,77.1,81.1,86.5,86.2,2.04,62
8,60.2,25.0,28.3,73.3,77.6,91.0,89.1,2.08,62
9,58.2,26.4,29.2,71.4,78.6,89.6,94.4,1.99,62
10,56.4,25.2,29.1,65.1,78.0,89.5,94.2,1.9,62
11,54.0,26.8,32.2,69.1,79.6,91.6,92.3,1.97,62
12,64.8,27.3,30.9,66.6,82.0,91.2,89.2,2.1,62
13,63.6,28.2,30.2,65.9,78.9,89.2,90.2,2.22,62
14,61.7,28.3,32.6,60.5,79.7,89.5,89.9,2.2,62
15,71.8,29.2,32.5,66.3,80.0,86.7,87.7,2.49,62
16,69.4,29.0,31.3,62.9,75.2,88.7,87.3,2.38,62
17,67.3,28.5,30.5,67.4,72.7,87.1,90.7,2.28,62
18,65.6,28.5,31.3,70.1,72.6,91.5,88.2,2.22,62
19,65.1,28.8,29.8,71.5,73.3,93.6,92.2,2.22,62
20,64.8,27.8,27.9,72.5,77.7,91.1,93.3,2.33,62
21,63.9,28.3,28.2,76.2,74.5,92.7,95.5,2.55,62
22,64.1,26.8,25.8,74.8,75.9,90.0,95.2,2.36,62
23,63.1,27.8,25.6,74.5,75.4,86.6,97.4,2.27,62
0,62.1,26.4,24.5,76.4,74.6,85.1,95.0,2.2,63
1,61.8,27.0,23.0,78.5,70.6,86.0,97.3,2.16,63
2,59.9,26.7,23.4,80.8,73.2,91.1,98.5,2.07,63
3,59.1,25.6,25.1,77.9,72.9,89.2,94.7,2.15,63
4,57.2,26.0,23.1,81.5,72.2,86.7,93.2,1.95,63
5,55.2,25.2,23.8,79.5,72.0,88.5,96.2,1.98,63
6,65.1,25.2,24.0,77.3,71.6,90.3,97.8,1.89,63
7,62.6,25.6,26.7,74.3,70.8,94.0,99.7,1.91,63
8,61.0,25.0,27.3,72.5,70.4,89.7,100.5,1.87,63
9,58.7,25.8,29.1,71.2,69.9,87.2,103.3,1.91,63
10,58.0,25.7,29.9,67.6,70.1,84.8,106.4,1.84,63
11,56.3,27.3,30.1,67.2,69.0,84.7,105.0,1.74,63
12,65.8,27.1,31.0,61.6,68.1,84.7,102.5,1.84,63
13,64.0,28.5,32.7,61.4,66.3,88.0,100.0,1.88,63
14,62.4,28.6,31.9,62.3,66.2,89.4,104.3,2.21,63
15,73.7,29.1,32.3,66.7,65.6,86.9,102.6,2.27,63
16,71.0,28.2,28.7,65.3,65.0,87.3,99.5,2.29,63
17,68.9,28.9,31.6,66.7,66.3,90.5,95.3,2.3,63
18,68.6,29.1,29.6,69.1,63.7,93.8,96.8,2.21,63
19,67.8,28.8,31.0,70.7,64.1,90.8,99.8,2.44,63
20,66.4,28.1,28.0,70.2,62.5,92.7,96.6,2.43,63
21,64.8,28.4,27.6,70.3,66.6,96.7,100.2,2.39,63
22,63.7,27.5,27.3,73.8,68.0,95.7,102.4,2.43,63
23,63.5,26.8,25.3,73.2,67.5,96.7,98.9,2.34,63
0,62.8,26.9,26.0,77.2,70.4,97.8,100.1,2.44,64
1,62.0,26.4,24.2,77.1,71.8,97.8,95.2,2.41,64
2,61.9,25.7,25.4,79.8,69.9,98.1,95.4,2.2,64
3,60.8,25.1,24.7,80.2,69.9,95.3,98.5,2.12,64
4,59.8,25.8,24.4,79.3,67.4,96.7,100.7,2.14,64
5,58.4,24.9,23.7,80.7,65.4,100.0,97.7,2.42,64
6,67.4,24.9,24.8,83.2,66.3,100.9,99.7,2.44,64
7,65.7,25.5,26.2,72.7,63.2,100.2,99.5,2.44,64
8,62.9,25.0,25.7,77.8,66.5,98.2,94.4,2.28,64
9,60.9,25.6,28.3,68.9,67.6,100.9,94.6,2.25,64
10,59.7,25.8,30.8,65.6,65.8,95.3,95.7,2.2,64
11,58.1,26.4,30.0,64.1,67.8,98.0,94.4,2.16,64
12,68.7,26.7,32.8,65.8,71.0,96.0,95.0,2.04,64
13,65.8,28.7,31.5,64.4,70.9,96.8,94.0,2.02,64
14,63.8,28.7,32.2,63.1,72.7,97.9,97.6,2.15,64
15,74.5,29.0,30.7,63.6,73.5,98.7,94.5,1.98,64
16,71.8,29.0,31.6,64.2,70.5,98.1,97.8,2.16,64
17,70.0,28.6,31.0,67.7,67.9,93.9,95.2,2.04,64
18,68.3,28.9,30.9,70.3,70.8,94.8,88.6,2.13,64
19,66.6,28.2,30.3,69.1,71.4,90.8,89.8,2.21,64
20,65.9,28.5,29.4,69.9,69.3,93.7,89.1,2.19,64
21,64.6,28.2,27.7,72.2,70.7,93.3,87.0,2.15,64
22,63.5,27.5,25.8,70.3,70.1,98.8,91.3,2.21,64
23,63.2,27.5,27.1,75.9,69.3,97.1,95.6,2.17,64
0,61.6,27.0,24.3,78.0,69.5,99.5,90.5,2.01,65
1,62.4,26.5,24.4,77.8,68.0,100.2,89.8,2.06,65
2,62.1,25.4,24.9,78.4,67.2,95.5,91.8,2.17,65
3,60.8,25.4,24.4,81.8,64.8,93.6,96.6,2.23,65
4,60.5,25.3,25.3,80.6,63.1,91.5,94.9,2.22,65
5,60.0,25.7,24.2,80.2,63.8,93.6,98.7,2.17,65
6,70.5,25.0,23.6,79.0,66.2,95.6,97.6,2.15,65
7,68.4,25.1,25.8,76.3,66.7,96.5,99.1,2.27,65
8,67.0,25.1,27.4,75.8,69.3,102.3,95.6,2.25,65
9,65.4,25.3,28.4,68.1,69.5,97.1,96.7,2.19,65
10,63.9,26.1,31.1,67.9,66.4,92.7,93.8,2.26,65
11,62.1,26.0,30.9,61.8,66.3,92.1,93.8,2.3,65
12,72.2,27.0,30.6,63.7,62.5,95.9,94.9,2.5,65
13,70.1,28.7,32.4,67.6,61.5,97.3,93.7,2.58,65
14,67.3,28.9,31.0,61.9,57.9,99.5,96.3,2.59,65
15,77.3,28.6,33.0,62.7,57.5,96.5,96.6,2.45,65
16,74.7,29.2,31.5,65.4,57.2,93.1,91.8,2.31,65
17,72.7,28.8,29.6,68.2,54.9,96.1,91.9,2.07,65
18,72.1,28.4,30.9,69.2,53.4,95.2,89.9,2.28,65
19,72.1,28.7,31.1,68.5,51.4,94.1,88.2,2.29,65
20,70.4,28.0,26.8,74.2,53.0,96.0,89.2,2.31,65
21,69.0,28.5,28.3,72.7,52.0,92.9,90.8,2.28,65
22,67.3,27.5,27.2,76.5,51.2,94.5,92.3,2.23,65
23,66.5,26.9,26.1,78.9,50.1,95.3,95.9,2.38,65
0,65.9,26.8,25.6,75.6,54.2,91.3,98.9,2.56,66
1,64.7,26.3,25.2,75.8,51.6,93.1,99.1,2.56,66
2,63.5,26.3,23.8,80.3,50.0,94.0,102.1,2.52,66
3,64.3,25.9,25.2,80.2,51.4,94.2,105.3,2.47,66
4,63.0,25.0,22.9,80.1,55.4,93.7,105.1,2.38,66
5,61.6,25.5,25.8,80.0,56.0,94.7,103.3,2.49,66
6,71.0,25.5,26.2,77.9,54.2,96.6,102.0,2.53,66
7,68.2,25.1,25.1,78.8,54.7,99.5,108.0,2.7,66
8,66.9,25.5,27.3,68.0,56.1,97.3,107.5,2.5,66
9,65.6,25.2,29.8,72.9,56.8,93.4,104.5,2.56,66
10,63.3,26.4,29.6,68.5,59.7,94.1,99.5,2.37,66
11,62.0,26.7,30.9,65.6,60.6,93.7,98.6,2.46,66
12,72.0,27.8,31.4,62.7,60.1,93.8,97.2,2.48,66
13,69.8,28.1,32.9,66.2,62.8,93.5,95.2,2.52,66
14,67.8,28.7,31.4,62.1,64.8,92.2,95.1,2.49,66
15,76.6,28.2,31.6,64.9,60.8,89.4,92.9,2.52,66
16,73.9,28.5,31.7,67.6,58.5,88.3,91.4,2.66,66
17,72.1,29.0,30.5,63.7,55.9,87.5,91.9,2.66,66
18,71.3,28.4,29.3,68.6,55.5,84.6,90.9,2.44,66
19,70.4,28.1,28.2,70.1,53.5,80.9,91.9,2.52,66
20,69.3,27.3,27.2,71.9,50.1,82.9,93.0,2.73,66
21,68.4,27.6,26.6,72.0,49.8,79.4,95.0,2.69,66
22,68.7,27.7,25.4,75.5,51.7,82.2,96.2,2.51,66
23,68.6,26.7,25.4,77.9,53.4,81.3,94.9,2.65,66
0,67.7,27.0,25.6,76.8,53.1,80.1,90.4,2.63,67
1,66.2,25.6,24.8,82.2,56.6,77.9,88.0,2.54,67
2,65.6,26.8,23.7,77.3,57.2,79.1,90.2,2.48,67
3,65.6,26.1,23.3,78.6,58.3,81.3,93.5,2.59,67
4,65.5,24.4,23.2,82.2,60.5,78.7,97.6,2.78,67
5,63.6,24.4,23.1,79.1,60.3,77.7,98.8,2.89,67
6,73.6,25.1,23.9,76.4,54.5,81.0,99.9,2.75,67
7,71.2,24.3,26.6,75.2,55.6,85.9,97.3,2.62,67
8,68.6,24.8,26.2,76.1,55.1,87.7,99.2,2.54,67
9,66.8,25.6,28.7,72.0,56.3,88.5,100.5,2.43,67
10,64.1,25.2,29.5,66.3,59.1,90.0,103.0,2.4,67
11,62.1,26.9,33.0,62.5,54.9,87.9,102.4,2.36,67
12,72.1,27.3,30.3,67.2,54.4,89.5,101.1,2.37,67
13,70.6,27.4,32.2,64.4,56.3,91.6,105.1,2.29,67
14,68.8,29.1,31.6,63.4,55.9,94.3,107.2,2.39,67
15,78.1,29.1,31.0,63.1,58.3,96.3,105.6,2.25,67
16,76.8,28.7,31.5,61.8,54.4,97.0,106.0,2.17,67
17,74.5,29.4,30.8,64.3,55.8,100.6,105.0,1.89,67
18,74.8,28.6,29.1,68.5,57.8,99.1,107.4,1.96,67
19,73.9,27.9,29.6,68.6,55.7,98.5,110.5,1.91,67
20,73.6,28.3,28.7,74.1,56.6,101.1,113.8,1.72,67
21,73.4,28.0,28.6,74.5,52.9,99.4,113.2,1.63,67
22,72.0,27.6,26.3,73.4,53.5,97.8,110.3,1.78,67
23,70.9,27.2,27.2,74.3,54.2,97.9,110.5,1.89,67
0,69.7,26.8,25.2,79.7,52.1,100.5,112.7,1.88,68
1,68.5,26.3,23.2,77.8,53.4,98.7,111.4,1.89,68
2,67.5,26.1,24.8,84.1,53.2,97.5,113.6,1.85,68
3,65.9,26.1,24.0,80.0,50.8,99.5,114.2,1.93,68
4,64.9,25.4,23.3,77.5,52.1,96.3,115.2,1.85,68
5,63.9,25.5,25.0,75.8,52.1,94.1,113.1,1.93,68
6,72.8,24.9,24.6,76.8,51.9,90.1,109.2,1.97,68
7,70.5,24.7,26.8,78.6,49.4,90.9,111.0,1.99,68
8,68.2,24.5,27.2,72.9,45.3,87.6,110.5,2.18,68
9,65.8,25.6,29.3,66.1,45.4,88.8,109.2,2.23,68
10,64.9,26.1,30.5,66.9,48.0,91.1,109.2,2.17,68
11,61.9,26.1,31.4,65.3,51.4,90.4,106.9,2.27,68
12,71.3,26.8,30.9,66.9,52.8,88.5,106.1,2.36,68
13,69.4,28.7,32.7,64.8,54.5,89.8,108.2,2.42,68
14,67.2,28.7,31.9,63.9,54.7,93.8,105.6,2.6,68
15,77.5,28.7,33.3,65.2,54.5,94.1,105.2,2.54,68
16,76.5,29.0,31.6,69.5,52.3,93.1,107.6,2.56,68
17,75.6,28.7,31.3,68.6,51.5,93.1,104.6,2.55,68
18,74.8,28.9,29.4,66.7,53.1,93.4,105.7,2.71,68
19,73.5,28.7,28.9,70.8,53.5,91.6,106.5,2.74,68
20,72.7,27.7,28.5,73.2,51.2,91.7,107.7,2.66,68
21,70.9,27.5,26.6,77.0,47.7,91.7,106.9,2.57,68
22,70.7,27.7,25.8,75.0,47.3,96.4,106.5,2.65,68
23,71.1,26.7,25.9,75.4,47.7,95.9,104.8,2.58,68
0,69.6,27.1,25.3,78.0,48.7,95.0,102.6,2.42,69
1,68.0,26.3,24.9,77.6,48.2,97.2,99.8,2.54,69
2,66.7,25.9,25.2,79.6,46.5,96.8,105.1,2.52,69
3,65.8,25.9,23.8,78.4,46.0,97.7,106.1,2.58,69
4,64.9,25.5,24.5,80.0,44.0,98.3,103.1,2.7,69
5,63.6,25.5,24.1,76.9,41.3,97.4,102.6,2.57,69
6,73.0,24.8,24.8,79.6,40.6,99.5,106.8,2.68,69
7,71.9,25.1,26.2,77.4,42.4,99.2,108.2,2.6,69
8,69.8,25.4,25.7,70.4,45.9,102.0,106.3,2.67,69
9,67.5,25.4,28.7,72.0,46.4,100.3,106.6,2.75,69
10,65.6,25.9,29.5,67.0,47.2,99.6,103.1,2.79,69
11,64.5,26.8,30.3,68.4,44.5,99.9,100.7,2.86,69
12,74.6,27.7,30.2,66.3,42.0,98.4,106.9,2.83,69
13,73.0,27.7,31.6,66.0,43.8,98.3,105.9,2.76,69
14,70.8,28.7,30.4,65.2,46.1,100.0,103.3,2.72,69
15,81.0,28.5,32.4,62.8,49.5,99.4,98.7,2.72,69
16,79.1,28.4,31.0,61.8,52.6,99.8,99.6,2.8,69
17,78.1,29.2,29.3,66.9,56.8,101.1,101.8,2.89,69
18,75.5,28.8,29.5,65.7,58.5,101.3,103.0,2.76,69
19,74.6,28.2,29.8,69.9,57.0,101.6,104.4,2.69,69
20,74.1,28.0,27.9,68.5,58.2,102.0,105.1,2.78,69
21,73.4,28.1,27.4,74.2,59.0,105.0,104.6,3.06,69
22,71.7,27.7,26.5,75.4,59.9,105.2,106.8,3.07,69
23,71.3,27.6,25.9,73.7,58.1,103.4,105.9,3.03,69
0,70.8,26.9,24.0,75.6,62.2,104.5,108.1,3.0,70
1,70.5,26.2,24.7,79.2,62.0,101.6,104.3,2.89,70
2,69.2,26.4,23.9,80.9,59.0,100.7,104.4,2.72,70
3,68.3,26.5,26.5,80.2,57.9,102.2,106.6,2.51,70
4,66.6,25.3,23.8,78.8,59.0,96.6,107.7,2.44,70
5,65.5,25.0,23.9,79.8,54.6,95.6,104.8,2.54,70
6,75.5,25.1,25.7,77.7,54.9,103.1,108.9,2.74,70
7,73.6,24.8,25.9,75.0,56.9,103.9,113.1,2.75,70
8,70.6,24.6,27.5,70.9,56.6,103.9,118.1,2.64,70
9,67.9,25.5,28.0,70.7,56.8,106.7,119.8,2.75,70
10,66.3,26.0,31.2,66.5,55.2,103.7,122.4,2.89,70
11,64.2,26.3,30.6,65.6,54.6,100.8,118.0,2.75,70
12,74.5,27.8,32.1,60.9,54.9,95.8,117.3,2.71,70
13,71.7,29.1,32.9,65.5,56.7,94.9,118.4,2.55,70
14,69.6,28.6,31.7,63.2,56.6,95.3,121.2,2.69,70
15,79.3,28.5,31.7,64.8,56.7,94.1,122.6,2.55,70
16,77.1,29.0,31.7,68.2,57.0,93.3,120.0,2.71,70
17,74.2,29.2,31.2,69.4,59.6,94.8,118.2,2.65,70
18,72.6,28.8,29.1,69.2,60.5,90.7,120.0,2.57,70
19,70.8,28.6,29.4,67.7,58.8,91.8,121.1,2.66,70
20,69.7,28.5,27.7,71.0,62.0,92.9,119.5,2.61,70
21,68.0,27.6,27.0,73.4,60.0,93.0,119.6,2.5,70
22,66.8,27.9,26.2,75.0,61.4,92.3,120.4,2.32,70
23,65.6,26.9,27.0,76.3,63.5,89.6,114.9,2.23,70
0,64.3,27.5,26.6,78.8,65.8,89.9,113.6,2.23,71
1,62.5,26.1,26.8,79.7,64.5,86.2,115.2,2.2,71
2,61.3,25.3,24.3,81.5,66.1,84.1,108.5,2.13,71
3,59.6,26.0,23.4,81.3,65.0,85.9,109.6,2.09,71
4,57.8,24.9,23.2,78.7,66.4,82.8,106.7,2.12,71
5,57.0,26.7,25.5,78.9,68.8,86.6,105.7,2.09,71
6,67.0,25.5,23.7,78.1,72.2,83.6,108.0,2.1,71
7,65.2,25.3,25.7,76.7,72.9,81.7,108.2,2.37,71
8,62.6,24.8,26.9,72.5,71.5,84.8,106.5,2.39,71
9,59.9,25.8,30.1,70.6,71.7,84.8,109.7,2.64,71
10,58.7,26.3,29.2,67.4,68.8,83.0,108.1,2.62,71
11,55.6,26.6,31.9,64.9,67.0,88.2,107.5,2.61,71
12,65.0,27.1,32.8,65.2,67.3,87.0,112.0,2.57,71
13,63.8,27.7,31.9,65.6,69.6,90.1,115.7,2.33,71
14,62.0,28.7,32.3,67.4,72.5,89.6,117.0,2.27,71
15,73.0,29.1,30.4,66.5,73.0,90.4,118.1,2.18,71
16,72.0,28.8,31.2,64.8,75.1,89.6,118.0,2.2,71
17,70.8,28.9,30.5,68.9,80.9,88.1,113.7,2.12,71
18,70.7,29.2,27.9,65.4,76.7,84.1,113.9,2.35,71
19,69.8,29.1,29.6,70.3,79.8,83.2,110.3,2.34,71
20,68.2,28.3,28.7,70.2,79.7,85.8,110.9,2.36,71
21,67.7,27.9,26.2,71.8,81.2,89.6,108.1,2.31,71
22,66.0,27.9,25.6,78.0,77.5,93.1,112.0,2.2,71
23,64.0,26.4,25.4,75.2,79.3,91.6,115.3,2.16,71
0,62.5,26.6,24.9,77.8,76.5,92.2,119.7,2.1,72
1,61.5,26.1,24.5,79.5,71.3,95.2,124.3,2.12,72
2,60.6,25.8,23.6,79.3,72.6,94.2,123.9,2.14,72
3,60.4,25.8,23.3,77.4,71.9,95.3,124.4,2.25,72
4,59.3,25.8,24.2,80.6,72.0,96.4,121.1,2.19,72
5,59.7,26.0,23.9,78.9,69.2,96.3,123.3,2.16,72
6,69.8,25.7,24.9,77.9,66.5,100.4,120.5,2.07,72
7,68.2,24.9,25.8,76.0,66.0,96.7,115.6,1.94,72
8,65.9,25.2,27.7,74.2,70.4,98.1,111.7,1.86,72
9,64.0,25.2,28.6,71.4,68.1,100.7,110.5,1.88,72
10,62.2,26.1,30.7,65.3,67.9,103.6,109.2,2.03,72
11,59.7,26.5,31.1,66.3,69.5,101.1,111.9,2.1,72
